[2025-06-01 01:25:53.089] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:25:53.099] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601012548-0001' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:25:55.103] [BotDecisionTactica          ] [ERROR] Error enviando alerta al dashboard: HTTPConnectionPool(host='127.0.0.1', port=5005): Max retries exceeded with url: /submit_alert_data (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002C77B02F4D0>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')). Se procederá con decisión automática.
[2025-06-01 01:25:55.113] [BotDecisionTactica          ] [INFO ] Tomando decisión AUTOMÁTICA para 'EVT-SEL-20250601012548-0001' debido a: Error de conexión con Dashboard
[2025-06-01 01:25:55.113] [BotDecisionTactica          ] [INFO ] AUTO: Amenaza alta, notificando a Sonic y Tails si está cerca (No).
[2025-06-01 01:25:55.114] [BotDecisionTactica          ] [INFO ] Decisión AUTOMÁTICA para 'EVT-SEL-20250601012548-0001': Enviar a LogDB, Sonic
[2025-06-01 01:26:17.557] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:26:17.569] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601012612-0002' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:26:19.583] [BotDecisionTactica          ] [ERROR] Error enviando alerta al dashboard: HTTPConnectionPool(host='127.0.0.1', port=5005): Max retries exceeded with url: /submit_alert_data (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002C77B1348A0>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')). Se procederá con decisión automática.
[2025-06-01 01:26:19.584] [BotDecisionTactica          ] [INFO ] Tomando decisión AUTOMÁTICA para 'EVT-SEL-20250601012612-0002' debido a: Error de conexión con Dashboard
[2025-06-01 01:26:19.585] [BotDecisionTactica          ] [INFO ] AUTO: Amenaza media, notificando a héroes cercanos o uno al azar.
[2025-06-01 01:26:19.586] [BotDecisionTactica          ] [INFO ] Decisión AUTOMÁTICA para 'EVT-SEL-20250601012612-0002': Enviar a LogDB, Sonic
[2025-06-01 01:27:30.124] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:27:30.137] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601012729-0001' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:27:30.140] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601012729-0001' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:27:40.162] [BotDecisionTactica          ] [INFO ] Decisión del usuario recibida para 'EVT-SEL-20250601012729-0001': all_heroes
[2025-06-01 01:27:40.163] [BotDecisionTactica          ] [DEBUG] Archivo de decisión 'decision_EVT-SEL-20250601012729-0001.json' eliminado.
[2025-06-01 01:27:40.163] [BotDecisionTactica          ] [INFO ] Decisión del USUARIO para 'EVT-SEL-20250601012729-0001': Enviar a LogDB, Sonic, Knuckles, Tails
[2025-06-01 01:27:40.165] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:27:57.217] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:27:57.228] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601012756-0002' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:27:57.232] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601012756-0002' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:28:12.261] [BotDecisionTactica          ] [INFO ] Decisión del usuario recibida para 'EVT-SEL-20250601012756-0002': knuckles_only
[2025-06-01 01:28:12.262] [BotDecisionTactica          ] [DEBUG] Archivo de decisión 'decision_EVT-SEL-20250601012756-0002.json' eliminado.
[2025-06-01 01:28:12.262] [BotDecisionTactica          ] [INFO ] Decisión del USUARIO para 'EVT-SEL-20250601012756-0002': Enviar a LogDB, Knuckles
[2025-06-01 01:28:12.264] [BotDecisionTactica          ] [INFO ] Proceso de decisión táctica completado.
[2025-06-01 01:28:27.318] [BotDecisionTactica          ] [INFO ] Iniciando proceso de decisión táctica con Dashboard...
[2025-06-01 01:28:27.331] [BotDecisionTactica          ] [INFO ] Enviando datos de alerta 'EVT-SEL-20250601012826-0003' al dashboard en http://127.0.0.1:5005/submit_alert_data...
[2025-06-01 01:28:27.335] [BotDecisionTactica          ] [INFO ] Alerta 'EVT-SEL-20250601012826-0003' enviada al dashboard exitosamente. Esperando decisión del usuario (timeout: 40s)...
[2025-06-01 01:28:43.366] [BotDecisionTactica          ] [INFO ] Decisión del usuario recibida para 'EVT-SEL-20250601012826-0003': sonic_only
[2025-06-01 01:28:43.367] [BotDecisionTactica          ] [DEBUG] Archivo de decisión 'decision_EVT-SEL-20250601012826-0003.json' eliminado.
